"","group","D","p","EPU"
"66","AtlMackerel","0.0268729641693811",0.767011143087368,"GB"
"67","RiverHerring","0.0301302931596091",0.632894548391964,"GB"
"68","Butterfish","0.0325732899022801",0.532579790990066,"GB"
"69","SmPelagics","0.103420195439739",3.95228114655269e-06,"GB"
"70","Mesopelagics","0.0219869706840391",0.927927963216092,"GB"
"71","OtherPelagics","0.0301302931596091",0.632894548391964,"GB"
"72","Cod","0.0309446254071661",0.59901014571635,"GB"
"73","Haddock","0.0252442996742671",0.8287853013348,"GB"
"74","Goosefish","0.0325732899022801",0.532579790990066,"GB"
"75","SilverHake","0.0464169381107492",0.141851360631889,"GB"
"76","RedHake","0.0521172638436482",0.0711900077093123,"GB"
"77","WhiteHake","0.0399022801302932",0.28229610640666,"GB"
"78","Redfish","0.0390879478827362",0.305253570794347,"GB"
"79","Pollock","0.0423452768729642",0.22087451922016,"GB"
"80","OceanPout","0.0390879478827362",0.305253570794347,"GB"
"81","BlackSeaBass","0.0268729641693811",0.767011143087368,"GB"
"82","Bluefish","0.0325732899022801",0.532579790990066,"GB"
"83","Scup","0.0358306188925082",0.409728605081935,"GB"
"84","OtherDemersals","0.0252442996742671",0.8287853013348,"GB"
"85","SouthernDemersals","0.0325732899022801",0.532579790990066,"GB"
"86","Fourspot","0.0374592833876222",0.354990624208626,"GB"
"87","SummerFlounder","0.0423452768729642",0.22087451922016,"GB"
"88","AmPlaice","0.0488599348534202",0.106607603461217,"GB"
"89","Windowpane","0.0195439739413681",0.97311892362595,"GB"
"90","WinterFlounder","0.0382736156351792",0.329486587288311,"GB"
"91","WitchFlounder","0.0228013029315961",0.906974082081142,"GB"
"92","YTFlounder","0.0260586319218241",0.798629017530879,"GB"
"93","SmFlatfishes","0.0431596091205212",0.202835684809037,"GB"
"94","SpinyDogfish","0.0537459283387622",0.057607184473914,"GB"
"95","SmoothDogfish","0.0333876221498371",0.500410587660081,"GB"
"96","Barndoor","0.0333876221498371",0.500410587660081,"GB"
